Location	Site	Lat	Lon	Year	Plot	Trt	Nfert	TotalCover	WeedCover	TargetCover	TotalBiomass	WeedBiomass	TargetBiomass	Amorpha_canescens	Andropogon_gerardii	Asclepias_tuberosa	Astragalus_canadensis	Baptisia_australis	Bouteloua_curtipendula	Chamaecrista_fasciculata	Desmodium_canadense	Echinacea_pallida	Elymus_canadensis	Elymus_trachycaulum	Elymus_virginicus	Galium_boreale	Glycerryza_lepidota	Helianthus_maximilianii	Lathyrus_ochroleucus	Lespedeza_capitata	Liatris_aspera	Lupinus_perennis	Monarda_fistulosa	Panicum_virgatum	Petalostemum_candidum	Petalostemum_purpurea	Ratibida_pinnata	Rudbeckia_hirta	Schizachyrium_scoparium	Silphium_perfoliatum	Solidago_rigida	Sorghastrum_nutans	Vicia_americana	Zizia_aurea
1	B	45.387048	-93.88178	2006	4308	7	0	100	0	100	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4309	11	0	100	50	50	NA	NA	NA	1	0	2	5	1	NA	NA	NA	NA	0	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	10	NA	1	5	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4310	7	1	100	50	50	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4311	5	1	95	50	45	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4312	6	1	97	75	22	NA	NA	NA	0	NA	NA	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4313	1	0	90	40	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4314	6	0	99	75	24	NA	NA	NA	0	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4315	9	0	96	65	31	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4316	8	1	100	45	55	NA	NA	NA	0	0	NA	30	2	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	5	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4317	4	1	91	90	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
